,US State Name,State_x,Month_x,Avg_temp,Density (Pop./ mi2),Population,sick death,all death
0,Alabama,AL,January,45.525,95.0,"4,858,979",93.25581395348836,1081.8837209302326
1,Alaska,AK,January,11.929999999999998,1.0,"738,432",4.813953488372093,82.25581395348838
2,Arizona,AZ,January,45.96,60.0,"6,828,065",90.23255813953487,1099.3953488372092
3,Arkansas,AR,January,40.43333333333333,57.0,"2,978,204",67.4186046511628,660.2093023255812
4,California,CA,January,49.23749999999999,251.0,"39,144,818",612.1395348837209,5480.674418604651
5,Colorado,CO,January,27.08,52.0,"5,456,574",60.32558139534883,731.6046511627907
6,Connecticut,CT,January,28.6,741.0,"3,590,886",61.16279069767442,645.7674418604653
7,Delaware,DE,January,32.4,485.0,"945,934",14.83720930232558,179.95348837209306
8,Florida,FL,January,59.2769230769231,378.0,"20,271,272",259.86046511627904,3878.139534883721
9,Georgia,GA,January,46.1,177.0,"10,214,860",124.88372093023256,1637.7906976744187
10,Hawaii,HI,January,71.225,222.0,"1,431,603",25.790697674418613,215.55813953488368
11,Idaho,ID,January,30.4,20.0,"1,654,930",22.27906976744186,258.6279069767442
12,Illinois,IL,January,23.9,231.0,"12,859,995",207.55813953488368,2236.395348837209
13,Indiana,IN,January,27.475,184.0,"6,619,680",123.27906976744184,1305.7441860465115
14,Iowa,IA,January,19.65,55.0,"3,123,899",62.0,625.7209302325581
15,Kansas,KS,January,30.46,36.0,"2,911,641",53.465116279069775,559.5348837209302
16,Kentucky,KY,January,34.225,112.0,"4,425,092",101.86046511627909,960.2558139534883
17,Louisiana,LA,January,50.825,108.0,"4,670,724",69.79069767441861,917.3023255813954
18,Maine,ME,January,16.25,43.0,"1,329,328",25.51162790697675,289.25581395348837
19,Maryland,MD,January,32.9,618.0,"6,006,401",89.32558139534883,968.0697674418603
20,Massachusetts,MA,January,26.2,871.0,"6,794,422",127.69767441860463,1203.7674418604652
21,Michigan,MI,January,21.411111111111115,175.0,"9,922,576",157.88372093023256,1945.0697674418604
22,Minnesota,MN,January,11.5,68.0,"5,489,594",80.62790697674419,871.3255813953488
23,Mississippi,MS,January,44.36666666666667,63.0,"2,992,333",59.139534883720934,654.0465116279071
24,Missouri,MO,January,31.275,88.0,"6,083,672",115.046511627907,1248.5581395348838
25,Montana,MT,January,23.133333333333336,7.0,"1,032,949",16.46511627906977,189.2093023255814
26,Nebraska,NE,January,24.2625,24.0,"1,896,190",35.30232558139535,343.4418604651163
27,Nevada,NV,January,32.82,26.0,"2,890,845",42.06976744186046,459.8372093023256
28,New Hampshire,NH,January,12.65,148.0,"1,330,608",22.90697674418605,241.4883720930233
29,New Jersey,NJ,January,33.36666666666667,1218.0,"8,958,013",121.09302325581396,1570.7906976744187
30,New Mexico,NM,January,37.46666666666667,17.0,"2,085,109",35.2093023255814,367.0697674418605
31,New York,NY,January,27.422222222222214,420.0,"19,795,791",207.906976744186,2110.558139534884
32,North Carolina,NC,January,41.11666666666667,206.0,"10,042,802",190.0,1828.2093023255813
33,North Dakota,ND,January,9.95,10.0,"756,927",13.627906976744184,127.13953488372091
34,Ohio,OH,January,27.4125,284.0,"11,614,373",218.0,2471.4418604651164
35,Oklahoma,OK,January,38.1,57.0,"3,911,338",88.55813953488372,828.7441860465117
36,Oregon,OR,January,38.1625,41.0,"4,028,977",56.534883720930225,719.1395348837209
37,Pennsylvania,PA,January,28.600000000000005,286.0,"12,802,503",234.95348837209306,2805.9767441860467
38,Rhode Island,RI,January,29.2,1021.0,"1,056,298",22.465116279069772,207.67441860465115
39,South Carolina,SC,January,46.25,162.0,"4,896,146",88.46511627906976,963.7674418604653
40,South Dakota,SD,January,17.575000000000006,11.0,"858,469",18.186046511627904,155.90697674418604
41,Tennessee,TN,January,38.38333333333333,160.0,"6,600,299",142.8372093023256,1373.046511627907
42,Texas,TX,January,47.438095238095244,105.0,"27,469,114",386.62790697674416,3939.325581395349
43,Utah,UT,January,28.7,36.0,"2,995,919",30.6046511627907,332.6511627906977
44,Vermont,VT,January,18.7,67.0,"626,042",13.046511627906975,117.72093023255816
45,Virginia,VA,January,37.5,212.0,"8,382,993",116.11627906976744,1360.4651162790694
46,Washington,WA,January,37.48571428571428,107.0,"7,170,351",107.86046511627909,1101.8837209302326
47,West Virginia,WV,January,32.1,76.0,"1,844,128",49.6046511627907,479.0
48,Wisconsin,WI,January,18.775,106.0,"5,771,337",91.48837209302326,1060.9767441860465
49,Wyoming,WY,January,25.075,6.0,"586,107",9.232558139534882,94.69767441860463
50,Alabama,AL,February,49.35,95.0,"4,858,979",79.02702702702703,1052.7567567567567
51,Alaska,AK,February,14.865,1.0,"738,432",5.270270270270269,77.0
52,Arizona,AZ,February,49.06,60.0,"6,828,065",84.86486486486487,1088.162162162162
53,Arkansas,AR,February,44.76666666666667,57.0,"2,978,204",60.405405405405396,631.1891891891893
54,California,CA,February,51.65625,251.0,"39,144,818",550.0,5264.4324324324325
