US State Name,Unnamed: 0,Avg_temp,Density (Pop./ mi2),Population,sick death,all death,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Sick_death_rate(in 1000 people_wkly),All_death_rate(in 1000 people_wkly),sick of all death,yearly_sick_deaths_per 1000,yearly_all_deaths_per_1000
West Virginia,322,53.3125,76,1844128,36.32393995,426.0969949,0.22,0.08,0.1,0.26,0.15,0.19,0.019697082,0.231056084,0.084690858,10.2424825,120.1491639
Alabama,275,64.40625,95,4858979,62.45554567,971.3709775,0.24,0.09,0.11,0.26,0.14,0.17,0.012853636,0.19991257,0.063776,6.683890535,103.9545362
Arkansas,278,62.27777778,57,2978204,46.5137434,588.649858,0.25,0.09,0.11,0.25,0.13,0.17,0.015618051,0.197652632,0.07839385,8.121386771,102.7793684
Maine,293,43.06666667,43,1329328,18.89617675,262.1301659,0.2,0.07,0.11,0.26,0.16,0.2,0.014214834,0.197189983,0.071574863,7.391713638,102.5387912
Mississippi,298,63.71388889,63,2992333,41.42496535,587.1332329,0.26,0.1,0.11,0.25,0.13,0.16,0.013843702,0.196212531,0.070083148,7.198724868,102.0305164
Kentucky,291,56.74166667,112,4425092,73.98400842,862.9639714,0.24,0.09,0.11,0.26,0.14,0.16,0.016719202,0.195016052,0.085169277,8.693985205,101.408347
Pennsylvania,312,51.75833333,286,12802503,161.6817742,2485.478503,0.22,0.08,0.12,0.25,0.14,0.18,0.012628919,0.194140045,0.064451405,6.567037913,100.9528232
Oklahoma,310,60.72916667,57,3911338,60.65709059,736.3139631,0.26,0.09,0.12,0.25,0.13,0.15,0.015508016,0.188251172,0.081641811,8.064168094,97.89060951
Ohio,309,51.16458333,284,11614373,153.5360771,2183.419359,0.24,0.09,0.12,0.25,0.14,0.17,0.013219489,0.187992874,0.069783358,6.874134323,97.75629446
Tennessee,316,59.38611111,160,6600299,100.3570702,1239.765547,0.24,0.09,0.12,0.26,0.13,0.16,0.015204928,0.187834755,0.080432257,7.906562495,97.67407269
Missouri,299,56.07291667,88,6083672,78.68291406,1116.241991,0.24,0.09,0.12,0.25,0.14,0.16,0.012933458,0.183481619,0.069868213,6.725397968,95.4104421
Michigan,296,46.09722222,175,9922576,120.3132293,1783.748117,0.23,0.09,0.11,0.25,0.14,0.17,0.012125201,0.179766637,0.06705232,6.305104564,93.47865117
Iowa,289,48.10416667,55,3123899,43.17851113,557.0662344,0.25,0.09,0.11,0.25,0.14,0.16,0.013821993,0.178324022,0.076823255,7.187436529,92.7284915
South Carolina,314,64.40833333,162,4896146,61.8146544,872.6357279,0.23,0.09,0.11,0.26,0.14,0.18,0.012625166,0.178229107,0.070340503,6.565086149,92.67913548
Rhode Island,313,51.55,1021,1056298,16.12146664,186.9769565,0.21,0.09,0.12,0.26,0.14,0.17,0.015262233,0.17701156,0.085463658,7.93636138,92.04601104
Indiana,288,52.37916667,184,6619680,87.94162542,1171.103466,0.25,0.09,0.12,0.26,0.13,0.15,0.013284876,0.176912398,0.074526632,6.90813532,91.99444719
Louisiana,292,68,108,4670724,45.80173512,825.0999574,0.26,0.09,0.12,0.25,0.13,0.15,0.009806132,0.176653546,0.055050876,5.099188534,91.85984396
Florida,283,72.06474359,378,20271272,203.0984846,3580.593979,0.21,0.08,0.11,0.25,0.14,0.2,0.01001903,0.176633907,0.056510198,5.209895659,91.84963178
Montana,300,45.05,7,1032949,11.7186668,180.2249288,0.23,0.09,0.11,0.24,0.15,0.18,0.011344865,0.174476115,0.064610958,5.899329722,90.72757995
Vermont,319,45.84166667,67,626042,8.997651678,107.0334263,0.2,0.09,0.11,0.25,0.16,0.19,0.014372281,0.170968444,0.08325033,7.473586233,88.90359063
Kansas,290,54.38833333,36,2911641,36.95679873,495.0767677,0.26,0.09,0.12,0.24,0.13,0.15,0.012692773,0.170033589,0.073962586,6.600242043,88.41746603
Delaware,282,54.84166667,485,945934,10.51275848,159.9341824,0.22,0.08,0.12,0.25,0.14,0.18,0.011113628,0.169075414,0.065345999,5.779086503,87.91921516
South Dakota,315,45.37291667,11,858469,13.20248123,144.1184647,0.26,0.09,0.12,0.24,0.14,0.16,0.015379101,0.167878473,0.090926697,7.997132386,87.29680588
Wisconsin,323,46.39791667,106,5771337,64.20325761,962.600345,0.23,0.09,0.11,0.26,0.14,0.17,0.011124503,0.166789835,0.066215111,5.784741726,86.73071411
New Hampshire,303,36.80833333,148,1330608,15.81100315,219.3104139,0.2,0.08,0.11,0.27,0.16,0.18,0.01188254,0.164819702,0.071479518,6.178920945,85.70624499
North Carolina,307,59.95416667,206,10042802,130.5774252,1641.250105,0.24,0.09,0.12,0.27,0.13,0.16,0.013002091,0.163425517,0.078905508,6.761087304,84.98126864
Oregon,311,51.48125,41,4028977,38.21241115,655.8718128,0.22,0.09,0.13,0.26,0.13,0.17,0.009484395,0.162788671,0.057791942,4.931885637,84.65010911
